ID,CFS12_NAME,SHORTNAME,FAFcode
1,"Albany-Schenectady, NY  CFS Area",Albany,Albany NY  CFS Area
2,"Atlanta-Athens-Clarke County-Sandy Springs, GA  CFS Area",Atlanta,Atlanta GA
3,"Austin-Round Rock, TX  CFS Area",Austin,Austin TX
4,"Baltimore-Columbia-Towson, MD  CFS Area",Baltimore,Baltimore MD
5,"Baton Rouge, LA  CFS Area",Baton Rouge,Baton Rouge LA
6,"Beaumont-Port Arthur, TX  CFS Area",Beaumont,Beaumont TX
7,"Birmingham-Hoover-Talladega, AL  CFS Area",Birmingham,Birmingham AL
8,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (MA Part)",Boston (MA),Boston MA-RI-NH-CT (MA Part)
9,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)",Boston (NH),Boston MA-RI-NH-CT (NH Part)
10,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (RI Part)",Rhode Island,Boston MA-RI-NH-CT (RI Part)
11,"Buffalo-Cheektowaga, NY  CFS Area",Buffalo,Buffalo NY  CFS Area
12,"Charleston-North Charleston-Summerville, SC  CFS Area",Charleston,Charleston SC
13,"Charlotte-Concord, NC-SC  CFS Area  (NC Part)",Charlotte,Charlotte NC-SC (NC Part)
14,"Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)",Chicago (IL),Chicago IL-IN-WI (IL Part)
15,"Chicago-Naperville, IL-IN-WI  CFS Area (IN Part)",Chicago (IN),Chicago IL-IN-WI (IN Part)
16,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (KY Part)",Cincinnati (KY),Cincinnati OH-KY-IN (KY Part)
17,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (OH Part)",Cincinnati (OH),Cincinnati OH-KY-IN (OH Part)
18,"Cleveland-Akron-Canton, OH  CFS Area",Cleveland,Cleveland OH
19,"Columbus-Marion-Zanesville, OH  CFS Area",Columbus,Columbus OH
20,"Corpus Christi-Kingsville-Alice, TX  CFS Area",Corpus Christi,Corpus Christi TX
21,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)",Dallas,Dallas-Fort Worth TX-OK (TX Part)
22,"Dayton-Springfield-Sidney, OH  CFS Area",Dayton,Dayton OH
23,"Denver-Aurora, CO  CFS Area",Denver,Denver CO
24,"Detroit-Warren-Ann Arbor, MI  CFS Area",Detroit,Detroit MI
25,"El Paso-Las Cruces, TX-NM  CFS Area (TX Part)",El Paso,El Paso TX-NM (TX Part)
26,"Fort Wayne-Huntington-Auburn, IN  CFS Area",Fort Wayne,Fort Wayne IN
27,"Fresno-Madera, CA  CFS Area",Fresno,Fresno CA
28,"Grand Rapids-Wyoming-Muskegon, MI  CFS Area",Grand Rapids,Grand Rapids MI
29,"Greensboro-Winston-Salem-High Point, NC  CFS Area",Greensboro,Greensboro--Winston-Salem--High Point NC
30,"Greenville-Spartanburg-Anderson, SC  CFS Area",Greenville,Greenville SC
31,"Hartford-West Hartford-East Hartford, CT  CFS Area",Hartford,Hartford CT
32,"Houston-The Woodlands, TX  CFS Area",Houston,Houston TX
33,"Indianapolis-Carmel-Muncie, IN  CFS Area",Indianapolis,Indianapolis IN
34,"Jacksonville-St. Marys-Palatka, FL-GA  CFS Area (FL Part)",Jacksonville,Jacksonville FL-GA  CFS Area (FL Part)
