"DMS_ORIG","DMS_DEST","SCTG2","DMS_MODE","Total KTons in 2018","Total Ton-Mile in 2018","Total M$ in 2018","Total Current M$ in 2018"
"Birmingham AL","Birmingham AL","Animal feed","Truck","22.1172","0.5042","10.2356","9.192"
"Birmingham AL","Rest of AL","Animal feed","Truck","183.3637","44.3442","34.9631","31.3985"
"Birmingham AL","Rest of FL","Animal feed","Truck","2.5653","0.9079","0.1187","0.1066"
"Birmingham AL","Atlanta GA","Animal feed","Truck","4.5441","0.9651","0.7076","0.6354"
"Birmingham AL","Rest of GA","Animal feed","Truck","0.0015","0.0002","0.0003","0.0003"
"Birmingham AL","Mississippi","Animal feed","Truck","2.7747","0.7119","0.3025","0.2717"
"Birmingham AL","Rest of NC","Animal feed","Truck","2.678","1.3027","0.2132","0.1914"
"Birmingham AL","Nashville TN","Animal feed","Truck","0.299","0.0897","0.0207","0.0185"
"Birmingham AL","Rest of TN","Animal feed","Truck","1.3624","0.4212","0.1324","0.1189"
"Mobile AL","Mobile AL","Animal feed","Truck","5.3629","0.1245","2.5742","2.3118"
"Mobile AL","Rest of AL","Animal feed","Truck","84.292","8.8909","9.3916","8.4341"
"Mobile AL","Rest of FL","Animal feed","Truck","28.5175","2.5637","3.0813","2.7672"
"Mobile AL","New Orleans LA-MS (LA Part)","Animal feed","Truck","3.3198","0.6405","0.3491","0.3135"
"Mobile AL","Rest of LA","Animal feed","Truck","8.0951","2.6455","0.851","0.7643"
"Mobile AL","Mississippi","Animal feed","Truck","19.6396","5.3754","1.4511","1.3031"
"Rest of AL","Birmingham AL","Animal feed","Truck","838.3451","125.3427","279.0536","250.6027"
"Rest of AL","Rest of AL","Animal feed","Truck","4077.5006","891.2222","1241.5042","1114.9265"
"Rest of AL","Rest of FL","Animal feed","Multiple modes & mail","0.8158","0.2872","4.3045","3.8656"
"Rest of AL","Atlanta GA","Animal feed","Truck","341.2582","67.9842","108.8462","97.7488"
"Rest of AL","Rest of GA","Animal feed","Truck","293.6318","60.1996","94.543","84.9038"
"Rest of AL","Rest of KY","Animal feed","Truck","8.9239","4.2196","3.1491","2.828"
"Rest of AL","Mississippi","Animal feed","Truck","382.0041","135.6998","118.2792","106.2201"
"Rest of AL","Mississippi","Animal feed","Multiple modes & mail","24.3422","8.191","9.2243","8.2839"
"Rest of AL","Nashville TN","Animal feed","Truck","15.3121","4.6448","4.373","3.9271"
"Rest of AL","Knoxville TN","Animal feed","Truck","4.4726","1.3462","0.1581","0.1419"
"Rest of AL","Rest of TN","Animal feed","Truck","110.6069","39.0364","35.1532","31.5691"
"Rest of AL","Houston TX","Animal feed","Multiple modes & mail","0.0116","0.0064","0.0057","0.0051"
"Alaska","Alaska","Animal feed","Truck","33.8847","2.5651","18.0513","16.2109"
"Alaska","Alaska","Animal feed","Water","2.5291","0.1914","0.0001","0.0001"
"Phoenix AZ","Phoenix AZ","Animal feed","Truck","1311.6648","64.7962","461.0553","414.0483"
"Phoenix AZ","Tucson AZ","Animal feed","Truck","12.8282","1.6754","21.8115","19.5877"
